En,Zh,Ja,Ko,Id,De,Fr,Ru,It
"N1Swap,next TRX decentralized exchange worth investing in","N1Swap,下一个值得投资的TRX去中心化交易所。",N1Swap、投資する価値のある次のTRX分散型取引所,"N1Swap, 분산 교환 다음 TRX 가치 투자.","N1Swap, TRX berikutnya desentralisasi pertukaran bernilai investasi di","N1Swap, die nächste dezentrale TRX-Börse, in die es sich zu investieren lohnt","N1Swap, le prochain échange décentralisé TRX dans lequel il vaut la peine d'investir","N1Swap, следующая децентрализованная биржа TRX стоит инвестировать в","N1Swap, il prossimo scambio decentralizzato TRX in cui vale la pena investire"
Liquidity providers will receive a 0.25% transaction fee rate,流动资金提供者将收取0.25%的交易费率。,流動性提供者は0.25%の取引手数料率を受け取る,유동성 공급자는 0.25 %의 트랜잭션 속도를 청구합니다.,"penyedia likuiditas akan menerima tingkat biaya transaksi 0,25%","Liquiditätsanbieter erhalten eine Transaktionsgebühr von 0,25%","Les fournisseurs de liquidité recevront des frais de transaction de 0,25 %.","Ликвидные провайдеры получат комиссионное вознаграждение за транзакцию в размере 0,25%.","I fornitori di liquidità riceveranno una commissione di transazione dello 0,25%"
N1S holders receive a 0.05% transaction fee rate,N1S持有者可获得0.05%的交易费率。,N1Sホルダーは0.05%の取引手数料を受け取る,N1S 홀더는 0.05 %의 트랜잭션 속도를 받게됩니다.,"pemegang N1S menerima tingkat biaya transaksi 0,05%","N1S-Inhaber erhalten eine 0,05%ige Transaktionsgebühr","Les détenteurs de N1S reçoivent un taux de frais de transaction de 0,05%.","Держатели N1S получают 0,05% комиссионное вознаграждение за транзакцию.","I possessori di N1S ricevono una commissione di transazione dello 0,05%."
"Based on Tron network, low transaction GAS","基于“Tron""网络，低交易GAS。",TRX」のネットワークをベースにした、取引量の少ないGAS。,"""트론""네트워크, 낮은 트랜잭션 가스 기준으로합니다.","Berdasarkan jaringan Tron, transaksi yang rendah GAS","Basierend auf dem ""TRX""-Netzwerk, niedrige Transaktion GAS.","Basé sur le réseau Tron, faible GAS de transaction","На базе сети ""TRX"" с низким торговым GAS.","Basato sulla rete ""TRX"" con GAS di scambio basso."
Stablecoin trading pairs use a lower slippage algorithm (similar to Curve),稳定币交易对使用较低的滑点算法（类似于Curve.fi）,ステーブルコインの取引ペアは、低スリッページアルゴリズム（Curve.fiと同様）を使用しています。,(Curve.fi 유사) 낮은 슬립 알고리즘에 대한 안정적인 통화 거래,pasang perdagangan Stablecoin menggunakan algoritma slip rendah (mirip dengan Curve),Stablecoin-Handelspaare verwenden einen Algorithmus mit geringem Schlupf (ähnlich wie bei Curve.fi).,Les paires d'échange de Stablecoin utilisent un algorithme de slippage inférieur (similaire à Curve).,Торговые пары Stablecoin используют алгоритм низкого проскальзывания (аналогичный Curve.fi).,Le coppie di trading Stablecoin utilizzano un algoritmo a basso slippage (simile a Curve.fi).
"Coming in End of April, Get N1S Airdop now",即将在4月底推出，现在就可以得到N1S Airdop了。,4月末に登場予定、今すぐN1Sエアトップを入手しよう,"4 월 하순 출시하는 것입니다, 당신은 지금 N1S Airdop를 얻을 수 있습니다.","Datang di Akhir April, Dapatkan N1S Airdop sekarang","Kommend Ende April, Holen Sie sich N1S Airdop jetzt","A venir fin avril, obtenez N1S Airdop maintenant.","Приезжая в конце апреля, возьмите N1S Airdop сейчас же.","In arrivo a fine aprile, ottieni N1S Airdop ora"
"Step 1, Submit your Trx address",第一步，提交您的Trx地址,ステップ1、Trxアドレスの送信,첫 번째 단계는 주소의 Trx 제출,"Langkah 1, Kirim alamat Trx Anda","Schritt 1, Senden Sie Ihre Trx-Adresse","Étape 1, Soumettez votre adresse Trx","Шаг 1, Отправьте ваш Trx-адрес","Passo 1, invia il tuo indirizzo Trx"
Submit,提交,送信,제출,Kirimkan,Einreichen,Soumettre,Отправить .,Invia
We will be issuing airdrops of N1S after N1Swap goes live,N1Swap上线后，我们将发放N1S的空投。,N1Swapが稼動した後に、N1Sのエアドロップを発行します。,"라인에 N1Swap 후, 우리는 드롭 N1S를 발행합니다.",Kami akan mengeluarkan airdrops dari N1S setelah N1Swap ditayangkan,"Wir werden Airdrops von N1S ausgeben, nachdem N1Swap live geht",Nous émettrons des largages de N1S après la mise en ligne de N1Swap.,"Мы будем выпускать сбрасывание птиц N1S после того, как N1Swap выйдет в эфир.",Rilasceremo airdrops di N1S dopo che N1Swap sarà attivo
you can submit your address and get N1S airdrops for free,您可以提交您的地址并免费获得N1S空投。,アドレスを登録すると、無料でN1Sのエアドロップを受け取ることができます。,당신은 당신의 주소를 입력하고 무료 N1S 강하를 얻을 수 있습니다.,Anda dapat mengirimkan alamat Anda dan mendapatkan airdrops N1S gratis,Sie können Ihre Adresse einreichen und N1S-Airdrops kostenlos erhalten,Vous pouvez soumettre votre adresse et recevoir des largages de N1S gratuitement.,вы можете отправить свой адрес и получить сапожки N1S бесплатно.,puoi inviare il tuo indirizzo e ricevere gratuitamente gli airdrops di N1S
